date,symbol,score,direction,position_size,market_regime,technical_score,seasonal_score,technical_weight,seasonality_weight,seasonality_confidence,return,max_return,max_drawdown,win
2023-10-02,ISRG,0.5769146802466198,NEUTRAL,0.0523074404073986,trending,0.5638295672645566,1,0.97,0.030000000000000027,0.3,0.0016611295681063431,0.023527018780934293,-0.002373042240151836,1.0
2023-10-02,C,0.5744138350641514,NEUTRAL,0.052232415051924545,trending,0.5612513763547953,1,0.97,0.030000000000000027,0.3,-0.005925925925925975,0.017037037037036983,-0.005925925925925975,0.0
2023-10-02,NKE,0.5391363958378491,SHORT,0.040939273500108384,trending,0.5248828823070609,1,0.97,0.030000000000000027,0.3,-0.024534686971235124,0.0,-0.026967005076142102,0.0
2023-10-02,SNPS,0.5308924933574966,SHORT,0.04074141984057992,trending,0.516384013770615,1,0.97,0.030000000000000027,0.3,-0.034711741623905876,0.028243715234358084,-0.034711741623905876,0.0
2023-10-02,ORCL,0.5289760857525972,SHORT,0.04069542605806234,trending,0.5144083358274198,1,0.97,0.030000000000000027,0.3,-0.03383000655983506,0.02052291256676973,-0.03383000655983506,0.0
2023-10-02,AVGO,0.5236897475603903,SHORT,0.04056855394144937,trending,0.5089585026395776,1,0.97,0.030000000000000027,0.3,-0.025067369303551048,0.02409725133241512,-0.025067369303551048,0.0
2023-10-03,AMD,0.6711547542921279,LONG,0.05513464262876384,trending,0.6609842827753896,1,0.97,0.030000000000000027,0.3,0.08922861710631502,0.08922861710631502,0.0,1.0
2023-10-03,INTC,0.651212288818545,LONG,0.05453636866455635,trending,0.6404250400191185,1,0.97,0.030000000000000027,0.3,0.02073409918744752,0.02073409918744752,0.0,1.0
2023-10-03,VRTX,0.6284994812567806,LONG,0.05385498443770342,trending,0.6170097744915264,1,0.97,0.030000000000000027,0.3,0.04467622772707523,0.04482109227871948,0.0,1.0
2023-10-03,REGN,0.6218776020743528,LONG,0.053656328062230585,trending,0.6101830949220132,1,0.97,0.030000000000000027,0.3,0.032970023876978005,0.03496183394984611,0.0,1.0
2023-10-03,META,0.6199995984653188,LONG,0.053599987953959566,trending,0.6082470087271328,1,0.97,0.030000000000000027,0.3,0.06944905961321186,0.06944905961321186,0.0,1.0
2023-10-03,DE,0.6130464127635133,LONG,0.053391392382905405,trending,0.6010787760448592,1,0.97,0.030000000000000027,0.3,0.04844680508610978,0.04844680508610978,0.0,1.0
2023-10-03,GE,0.6105091540768055,LONG,0.05331527462230417,trending,0.5984630454400056,1,0.97,0.030000000000000027,0.3,0.03452115812917594,0.03452115812917594,0.0,1.0
2023-10-03,TXN,0.6054466213075406,LONG,0.05316339863922622,trending,0.5932439394923098,1,0.97,0.030000000000000027,0.3,0.002607313195548468,0.004578696343402218,-0.01360890302066764,1.0
2023-10-03,AMGN,0.6018723617199013,LONG,0.05305617085159704,trending,0.5895591357937127,1,0.97,0.030000000000000027,0.3,0.03923221332515999,0.04034328186659526,0.0,1.0
2023-10-03,TMO,0.5996953047411809,LONG,0.05299085914223543,trending,0.5873147471558566,1,0.97,0.030000000000000027,0.3,-0.006925401813414536,0.005684433858409509,-0.006965433037769497,0.0
2023-10-03,AXP,0.5992139834327291,LONG,0.052976419502981875,trending,0.5868185396213702,1,0.97,0.030000000000000027,0.3,0.040537745604963774,0.040537745604963774,0.0,1.0
2023-10-03,ABBV,0.5982679201988317,LONG,0.052948037605964955,trending,0.5858432166998264,1,0.97,0.030000000000000027,0.3,0.009903004815844668,0.011395238418232426,0.0,1.0
2023-10-03,PFE,0.5971254246925456,LONG,0.052913762740776374,trending,0.5846653862809749,1,0.97,0.030000000000000027,0.3,-0.021533923303834718,0.0,-0.022713864306784546,0.0
2023-10-03,JPM,0.593445826830133,LONG,0.05280337480490399,trending,0.5808719864228176,1,0.97,0.030000000000000027,0.3,0.02060121925583349,0.02060121925583349,0.0,1.0
2023-10-03,PLD,0.5895951278986029,NEUTRAL,0.05268785383695809,trending,0.5769021937098999,1,0.97,0.030000000000000027,0.3,-0.02632558139534882,0.0,-0.02632558139534882,0.0
2023-10-03,SCHW,0.5890306543819597,NEUTRAL,0.05267091963145879,trending,0.576320262249443,1,0.97,0.030000000000000027,0.3,-0.009356725146198909,0.0046783625730993155,-0.009356725146198909,0.0
2023-10-03,RTX,0.5818401723204255,LONG,0.052455205169612766,trending,0.5689073941447685,1,0.97,0.030000000000000027,0.3,0.039246245395296066,0.039246245395296066,-0.017001983564749263,1.0
2023-10-03,HON,0.5815660380491959,LONG,0.05244698114147588,trending,0.5686247814940164,1,0.97,0.030000000000000027,0.3,0.028707077398697236,0.02970078392403679,-0.0061830628243346375,1.0
2023-10-03,CAT,0.5769625765857314,NEUTRAL,0.05230887729757194,trending,0.5638789449337437,1,0.97,0.030000000000000027,0.3,-0.015763839833438494,0.03037513477339486,-0.015763839833438494,0.0
2023-10-03,ISRG,0.5769146802466198,NEUTRAL,0.0523074404073986,trending,0.5638295672645566,1,0.97,0.030000000000000027,0.3,-0.033988334953478555,0.0,-0.033988334953478555,0.0
2023-10-03,C,0.5744138350641514,NEUTRAL,0.052232415051924545,trending,0.5612513763547953,1,0.97,0.030000000000000027,0.3,-0.039638735574510746,0.0012543903662819156,-0.039638735574510746,0.0
2023-10-03,NKE,0.5391363958378491,SHORT,0.040939273500108384,trending,0.5248828823070609,1,0.97,0.030000000000000027,0.3,-0.026606372909874866,0.0,-0.026606372909874866,0.0
2023-10-03,SNPS,0.5308924933574966,SHORT,0.04074141984057992,trending,0.516384013770615,1,0.97,0.030000000000000027,0.3,-0.08739350372736951,0.0,-0.08739350372736951,0.0
2023-10-03,ORCL,0.5289760857525972,SHORT,0.04069542605806234,trending,0.5144083358274198,1,0.97,0.030000000000000027,0.3,-0.04965556831228471,0.0,-0.05549177190968233,0.0
2023-10-03,AVGO,0.5236897475603903,SHORT,0.04056855394144937,trending,0.5089585026395776,1,0.97,0.030000000000000027,0.3,-0.053483548715682935,0.0,-0.053483548715682935,0.0
2023-10-04,AMD,0.6711547542921279,LONG,0.05513464262876384,trending,0.6609842827753896,1,0.97,0.030000000000000027,0.3,0.040741808398193614,0.04746805035072559,-0.011146343807052914,1.0
2023-10-04,INTC,0.651212288818545,LONG,0.05453636866455635,trending,0.6404250400191185,1,0.97,0.030000000000000027,0.3,0.026440300584469882,0.026440300584469882,-0.0011132758140829154,1.0
2023-10-04,VRTX,0.6284994812567806,LONG,0.05385498443770342,trending,0.6170097744915264,1,0.97,0.030000000000000027,0.3,0.03479049210981095,0.03479049210981095,0.0,1.0
2023-10-04,REGN,0.6218776020743528,LONG,0.053656328062230585,trending,0.6101830949220132,1,0.97,0.030000000000000027,0.3,0.02586534804108031,0.026478852501257734,0.0,1.0
2023-10-04,META,0.6199995984653188,LONG,0.053599987953959566,trending,0.6082470087271328,1,0.97,0.030000000000000027,0.3,0.07277963217488059,0.07277963217488059,-0.002585247725636376,1.0
2023-10-04,DE,0.6130464127635133,LONG,0.053391392382905405,trending,0.6010787760448592,1,0.97,0.030000000000000027,0.3,0.0327851458885942,0.03671087533156492,-0.0034748010610079635,1.0
2023-10-04,GE,0.6105091540768055,LONG,0.05331527462230417,trending,0.5984630454400056,1,0.97,0.030000000000000027,0.3,0.040514469453376306,0.040514469453376306,-0.0011943040881947217,1.0
2023-10-04,TXN,0.6054466213075406,LONG,0.05316339863922622,trending,0.5932439394923098,1,0.97,0.030000000000000027,0.3,-0.0040514021649679455,0.0,-0.0181047034247008,0.0
2023-10-04,AMGN,0.6018723617199013,LONG,0.05305617085159704,trending,0.5895591357937127,1,0.97,0.030000000000000027,0.3,0.06841470765521408,0.06841470765521408,-0.0013562386980109013,1.0
2023-10-04,TMO,0.5996953047411809,LONG,0.05299085914223543,trending,0.5873147471558566,1,0.97,0.030000000000000027,0.3,-0.019544233257040487,0.0,-0.019544233257040487,0.0
2023-10-04,AXP,0.5992139834327291,LONG,0.052976419502981875,trending,0.5868185396213702,1,0.97,0.030000000000000027,0.3,0.0332810475346109,0.0332810475346109,0.0,1.0
2023-10-04,ABBV,0.5982679201988317,LONG,0.052948037605964955,trending,0.5858432166998264,1,0.97,0.030000000000000027,0.3,0.011172049563274465,0.011172049563274465,-0.0016250253910217963,1.0
2023-10-04,PFE,0.5971254246925456,LONG,0.052913762740776374,trending,0.5846653862809749,1,0.97,0.030000000000000027,0.3,-0.006004202942059527,0.004803362353647451,-0.006004202942059527,0.0
2023-10-04,JPM,0.593445826830133,LONG,0.05280337480490399,trending,0.5808719864228176,1,0.97,0.030000000000000027,0.3,0.019532612486920207,0.019532612486920207,-0.0031391698639692267,1.0
2023-10-04,PLD,0.5895951278986029,NEUTRAL,0.05268785383695809,trending,0.5769021937098999,1,0.97,0.030000000000000027,0.3,-0.036709094263051134,0.0,-0.036709094263051134,0.0
2023-10-04,SCHW,0.5890306543819597,NEUTRAL,0.05267091963145879,trending,0.576320262249443,1,0.97,0.030000000000000027,0.3,-0.009725734292939117,0.006808014005057272,-0.009725734292939117,0.0
2023-10-04,RTX,0.5818401723204255,LONG,0.052455205169612766,trending,0.5689073941447685,1,0.97,0.030000000000000027,0.3,0.04549343981745575,0.046063890473473895,-0.010553337136337836,1.0
2023-10-04,HON,0.5815660380491959,LONG,0.05244698114147588,trending,0.5686247814940164,1,0.97,0.030000000000000027,0.3,0.026849315068493182,0.026849315068493182,-0.013589041095890354,1.0
2023-10-04,CAT,0.5769625765857314,NEUTRAL,0.05230887729757194,trending,0.5638789449337437,1,0.97,0.030000000000000027,0.3,-0.029430630494661027,0.015960457306719848,-0.0308644304418368,0.0
2023-10-04,ISRG,0.5769146802466198,NEUTRAL,0.0523074404073986,trending,0.5638295672645566,1,0.97,0.030000000000000027,0.3,0.02924762298470426,0.02924762298470426,-0.0260093702631942,1.0
2023-10-04,C,0.5744138350641514,NEUTRAL,0.052232415051924545,trending,0.5612513763547953,1,0.97,0.030000000000000027,0.3,-0.04320522481788492,0.0,-0.04320522481788492,0.0
2023-10-04,NKE,0.5391363958378491,SHORT,0.040939273500108384,trending,0.5248828823070609,1,0.97,0.030000000000000027,0.3,-0.028782980498487903,0.0010428616122639934,-0.028782980498487903,0.0
2023-10-04,SNPS,0.5308924933574966,SHORT,0.04074141984057992,trending,0.516384013770615,1,0.97,0.030000000000000027,0.3,-0.07289950576606259,0.0034032775513743022,-0.07289950576606259,0.0
2023-10-04,ORCL,0.5289760857525972,SHORT,0.04069542605806234,trending,0.5144083358274198,1,0.97,0.030000000000000027,0.3,-0.023907358983937265,0.0,-0.030257751214045527,0.0
2023-10-04,AVGO,0.5236897475603903,SHORT,0.04056855394144937,trending,0.5089585026395776,1,0.97,0.030000000000000027,0.3,-0.06160401063351987,0.0,-0.06160401063351987,0.0
2023-10-05,AMD,0.6711547542921279,LONG,0.05513464262876384,trending,0.6609842827753896,1,0.97,0.030000000000000027,0.3,0.057137304440773584,0.05927509474297939,0.0,1.0
2023-10-05,INTC,0.651212288818545,LONG,0.05453636866455635,trending,0.6404250400191185,1,0.97,0.030000000000000027,0.3,0.026469768737810054,0.027584285316244135,0.0,1.0
2023-10-05,VRTX,0.6284994812567806,LONG,0.05385498443770342,trending,0.6170097744915264,1,0.97,0.030000000000000027,0.3,0.036211071690037774,0.036211071690037774,0.0,1.0
2023-10-05,REGN,0.6218776020743528,LONG,0.053656328062230585,trending,0.6101830949220132,1,0.97,0.030000000000000027,0.3,0.008867552218692853,0.008867552218692853,0.0,1.0
2023-10-05,META,0.6199995984653188,LONG,0.053599987953959566,trending,0.6082470087271328,1,0.97,0.030000000000000027,0.3,0.06355195380425868,0.07556022179205345,0.0,1.0
2023-10-05,DE,0.6130464127635133,LONG,0.053391392382905405,trending,0.6010787760448592,1,0.97,0.030000000000000027,0.3,0.01754105778700518,0.040325800527030206,0.0,1.0
2023-10-05,GE,0.6105091540768055,LONG,0.05331527462230417,trending,0.5984630454400056,1,0.97,0.030000000000000027,0.3,0.024006622516556286,0.04175864606328188,0.0,1.0
2023-10-05,TXN,0.6054466213075406,LONG,0.05316339863922622,trending,0.5932439394923098,1,0.97,0.030000000000000027,0.3,-0.000709174134485292,0.016439945844884164,-0.000709174134485292,0.0
2023-10-05,AMGN,0.6018723617199013,LONG,0.05305617085159704,trending,0.5895591357937127,1,0.97,0.030000000000000027,0.3,0.07529802323826783,0.07529802323826783,0.0,1.0
2023-10-05,TMO,0.5996953047411809,LONG,0.05299085914223543,trending,0.5873147471558566,1,0.97,0.030000000000000027,0.3,-0.03104293000281109,0.0010642142885828472,-0.03104293000281109,0.0
2023-10-05,AXP,0.5992139834327291,LONG,0.052976419502981875,trending,0.5868185396213702,1,0.97,0.030000000000000027,0.3,0.028485960976273015,0.03004962947855046,0.0,1.0
2023-10-05,ABBV,0.5982679201988317,LONG,0.052948037605964955,trending,0.5858432166998264,1,0.97,0.030000000000000027,0.3,0.005764665988470823,0.012817904374364293,0.0,1.0
2023-10-05,PFE,0.5971254246925456,LONG,0.052913762740776374,trending,0.5846653862809749,1,0.97,0.030000000000000027,0.3,-0.016432626232446883,0.0,-0.016432626232446883,0.0
2023-10-05,JPM,0.593445826830133,LONG,0.05280337480490399,trending,0.5808719864228176,1,0.97,0.030000000000000027,0.3,0.02036389083275015,0.022743177046885932,0.0,1.0
2023-10-05,PLD,0.5895951278986029,NEUTRAL,0.05268785383695809,trending,0.5769021937098999,1,0.97,0.030000000000000027,0.3,-0.005686508300467802,0.0011006145097679954,-0.030908924149316744,0.0
2023-10-05,SCHW,0.5890306543819597,NEUTRAL,0.05267091963145879,trending,0.576320262249443,1,0.97,0.030000000000000027,0.3,-0.008813160987073947,0.0,-0.016647081864473057,0.0
2023-10-05,RTX,0.5818401723204255,LONG,0.052455205169612766,trending,0.5689073941447685,1,0.97,0.030000000000000027,0.3,0.056500432401268404,0.057221101181896786,0.0,1.0
2023-10-05,HON,0.5815660380491959,LONG,0.05244698114147588,trending,0.5686247814940164,1,0.97,0.030000000000000027,0.3,0.02177535829352287,0.04099544495056102,0.0,1.0
2023-10-05,CAT,0.5769625765857314,NEUTRAL,0.05230887729757194,trending,0.5638789449337437,1,0.97,0.030000000000000027,0.3,-0.03378067484662577,0.0,-0.04758435582822074,0.0
2023-10-05,ISRG,0.5769146802466198,NEUTRAL,0.0523074404073986,trending,0.5638295672645566,1,0.97,0.030000000000000027,0.3,0.0826295287669343,0.0826295287669343,-0.026681374745768587,1.0
2023-10-05,C,0.5744138350641514,NEUTRAL,0.052232415051924545,trending,0.5612513763547953,1,0.97,0.030000000000000027,0.3,-0.041374122367101265,0.0,-0.041374122367101265,0.0
2023-10-05,NKE,0.5391363958378491,SHORT,0.040939273500108384,trending,0.5248828823070609,1,0.97,0.030000000000000027,0.3,-0.03612068065560073,0.0,-0.03612068065560073,0.0
2023-10-05,SNPS,0.5308924933574966,SHORT,0.04074141984057992,trending,0.516384013770615,1,0.97,0.030000000000000027,0.3,-0.07934747145187605,0.0,-0.07934747145187605,0.0
2023-10-05,ORCL,0.5289760857525972,SHORT,0.04069542605806234,trending,0.5144083358274198,1,0.97,0.030000000000000027,0.3,-0.007014305491462899,0.0,-0.018181818181818174,0.0
2023-10-05,AVGO,0.5236897475603903,SHORT,0.04056855394144937,trending,0.5089585026395776,1,0.97,0.030000000000000027,0.3,-0.09921588619425631,0.0,-0.09921588619425631,0.0
2023-10-06,AMD,0.6711547542921279,LONG,0.05513464262876384,trending,0.6609842827753896,1,0.97,0.030000000000000027,0.3,-0.020048489369638114,0.016505035434539447,-0.020048489369638114,0.0
2023-10-06,INTC,0.651212288818545,LONG,0.05453636866455635,trending,0.6404250400191185,1,0.97,0.030000000000000027,0.3,-0.006079027355623069,0.01906604034263622,-0.006079027355623069,0.0
2023-10-06,VRTX,0.6284994812567806,LONG,0.05385498443770342,trending,0.6170097744915264,1,0.97,0.030000000000000027,0.3,0.02878376129998335,0.02878376129998335,-0.015029671121956674,1.0
2023-10-06,REGN,0.6218776020743528,LONG,0.053656328062230585,trending,0.6101830949220132,1,0.97,0.030000000000000027,0.3,0.0036577931314772764,0.0036577931314772764,-0.005677946854417443,1.0
2023-10-06,META,0.6199995984653188,LONG,0.053599987953959566,trending,0.6082470087271328,1,0.97,0.030000000000000027,0.3,-0.0023460038677361353,0.03927971340709503,-0.0023460038677361353,0.0
2023-10-06,DE,0.6130464127635133,LONG,0.053391392382905405,trending,0.6010787760448592,1,0.97,0.030000000000000027,0.3,0.0056004649442595355,0.032493263591694285,0.0,1.0
2023-10-06,GE,0.6105091540768055,LONG,0.05331527462230417,trending,0.5984630454400056,1,0.97,0.030000000000000027,0.3,-0.01874943931102542,0.01605813223288783,-0.01874943931102542,0.0
