,combined_score,technical_score,seasonal_score,sector_boost,technical_direction,direction,momentum_score,trend_score,volatility_score,volume_score,position_size,symbol,market_regime,entry_date,exit_date,entry_price,exit_price,return,adjusted_return
2023-05-04 04:00:00+00:00,0.5723612366750472,0.6033731952500675,0.5,0,NEUTRAL,NEUTRAL,0.4039701636188645,0.5507686057585409,0.7587540116228646,0.7,0.05217083710025142,NEM,MIXED,2023-05-04 04:00:00+00:00,2023-05-09 04:00:00+00:00,111.31,113.77,-0.022100440212020428,-0.0008936408915815646
2023-05-04 04:00:00+00:00,0.5699041247866352,0.5998630354094789,0.5,0,NEUTRAL,NEUTRAL,0.3798066498012288,0.6985101450633657,0.7916760372578937,0.5294593095154273,0.05209712374359906,AMZN,MIXED,2023-05-04 04:00:00+00:00,2023-05-09 04:00:00+00:00,111.31,113.77,-0.022100440212020428,-0.0008936408915815646
2023-05-04 04:00:00+00:00,0.5581672989321895,0.5830961413316993,0.5,0,NEUTRAL,NEUTRAL,0.4688392857142858,0.26354527961251106,0.8,0.8,0.05174501896796569,AMD,MIXED,2023-05-04 04:00:00+00:00,2023-05-09 04:00:00+00:00,111.31,113.77,-0.022100440212020428,-0.0008936408915815646
2023-05-04 04:00:00+00:00,0.5530013465305121,0.5757162093293031,0.5,0,SHORT,SHORT,0.55,0.4993201878602638,0.7792283163265312,0.47431633313041754,0.04127203231673229,CCI,MIXED,2023-05-04 04:00:00+00:00,2023-05-09 04:00:00+00:00,111.31,113.77,-0.022100440212020428,-0.0008936408915815646
2023-05-04 04:00:00+00:00,0.5518961779211876,0.574137397030268,0.5,0,NEUTRAL,NEUTRAL,0.4607927181660565,0.8,0.6749851487695698,0.36077172118544587,0.05155688533763563,MSFT,MIXED,2023-05-04 04:00:00+00:00,2023-05-09 04:00:00+00:00,111.31,113.77,-0.022100440212020428,-0.0008936408915815646
2023-05-04 04:00:00+00:00,0.5513825216458099,0.5734036023511571,0.5,0,SHORT,SHORT,0.55,0.5,0.8,0.44361440940462815,0.041233180519499445,VLO,MIXED,2023-05-04 04:00:00+00:00,2023-05-09 04:00:00+00:00,111.31,113.77,-0.022100440212020428,-0.0008936408915815646
2023-05-04 04:00:00+00:00,0.5352600400387845,0.5503714857696922,0.5,0,SHORT,SHORT,0.55,0.5,0.8,0.3514859430787689,0.040846240960930834,TSLA,MIXED,2023-05-04 04:00:00+00:00,2023-05-09 04:00:00+00:00,111.31,113.77,-0.022100440212020428,-0.0008936408915815646
2023-05-04 04:00:00+00:00,0.5331820232553492,0.5474028903647847,0.5,0,NEUTRAL,NEUTRAL,0.6907423208191126,0.3615865249094622,0.5609510387668077,0.5763316769637561,0.05099546069766048,DE,MIXED,2023-05-04 04:00:00+00:00,2023-05-09 04:00:00+00:00,111.31,113.77,-0.022100440212020428,-0.0008936408915815646
2023-05-04 04:00:00+00:00,0.5326431451902424,0.5466330645574891,0.5,0,NEUTRAL,NEUTRAL,0.35636758321273504,0.6910003191225487,0.7725530141106249,0.36661134178404764,0.05097929435570727,NVDA,MIXED,2023-05-04 04:00:00+00:00,2023-05-09 04:00:00+00:00,111.31,113.77,-0.022100440212020428,-0.0008936408915815646
2023-05-04 04:00:00+00:00,0.5181430833662632,0.5259186905232333,0.5,0,SHORT,SHORT,0.55,0.3006062872558487,0.7600064812556951,0.49306199358138925,0.040435434000790325,EOG,MIXED,2023-05-04 04:00:00+00:00,2023-05-09 04:00:00+00:00,111.31,113.77,-0.022100440212020428,-0.0008936408915815646
