symbol,date,direction,combined_score,rsi,macd,position_size,start_price,end_price,pct_return,dollar_return
MO,2023-02-14,SHORT,0.5962505053234264,66.62198391420907,0.5352144583226632,1300.0,47.41,48.07,-1.3729977116704872,-17.848970251716334
MO,2023-02-15,SHORT,0.6270405026842856,73.79603399433421,0.5739834628438061,1560.0,47.65,47.44,0.4426644182124795,6.90556492411468
MO,2023-02-16,SHORT,0.597717397631564,72.76536312849156,0.577873897008871,1300.0,47.4,47.14,0.5515485787017438,7.170131523122669
MO,2023-02-17,SHORT,0.6336986672292593,73.89558232931721,0.6277837938959294,1560.0,48.07,47.51,1.1786992212165837,18.387707850978707
MO,2023-02-24,SHORT,0.7007965003440301,52.389705882352985,0.5088285553310001,1560.0,47.17,46.15,2.2101841820151735,34.47887323943671
MO,2023-02-27,SHORT,0.5785977793200325,46.51162790697674,0.419018854684424,1300.0,46.54,46.46,0.17219113215669601,2.238484718037048
MO,2023-02-28,SHORT,0.552527728243982,48.8656195462478,0.33510505668856183,1300.0,46.43,46.53,-0.21491510853213214,-2.793896410917718
MO,2023-03-02,SHORT,0.5522563225151996,51.06732348111661,0.1931623449587505,1300.0,46.46,46.55,-0.19334049409236442,-2.5134264232007375
MO,2023-03-06,SHORT,0.6327287319391318,43.77358490566035,0.1801260546640151,1560.0,47.19,46.74,0.9627727856225787,15.019255455712228
MO,2023-03-08,SHORT,0.5530970685176493,42.286751361161514,0.1355460697741151,1300.0,46.8,46.68,0.25706940874035134,3.3419023136245674
MO,2023-03-09,SHORT,0.5506531184148927,43.79699248120303,0.12190722139580856,1300.0,46.74,46.74,0.0,0.0
MO,2023-03-14,SHORT,0.5684705849546187,44.97487437185931,0.07983883230915723,1300.0,46.74,45.32,3.133274492497806,40.73256840247148
MO,2023-03-15,SHORT,0.572920462870034,41.443850267379666,0.08421596662994801,1300.0,46.87,46.07,1.7364879531148292,22.57434339049278
MO,2023-03-17,LONG,0.6559027777777777,35.87962962962963,-0.07912734808788713,1000.0,45.32,45.15,-0.3751103265666411,-3.751103265666411
MO,2023-03-21,SHORT,0.5728310127039021,50.51975051975056,-0.11291923657809377,1300.0,46.2,43.97,5.071639754377988,65.93131680691384
MO,2023-03-23,LONG,0.7,28.59135285913527,-0.4042069593893771,1100.0,43.46,44.36,2.0708697653014196,22.779567418315615
MO,2023-03-24,LONG,0.7,27.065527065527064,-0.5173846486159093,1100.0,43.97,44.52,1.250852854218798,13.759381396406777
REGN,2023-01-31,SHORT,0.6969096684182003,79.11367638426927,6.985629815546872,1560.0,758.47,783.13,-3.1489024810695487,-49.12287870468496
REGN,2023-02-01,SHORT,0.6684075024597478,76.20501635768814,8.308558715875392,1560.0,758.0,780.86,-2.927541428681202,-45.66964628742675
REGN,2023-02-02,SHORT,0.6160153661275178,69.51102588686486,8.70790690028241,1560.0,751.2,769.94,-2.4339558926669613,-37.9697119256046
REGN,2023-02-03,SHORT,0.7,75.79499323410019,11.468673632791592,1560.0,783.13,749.66,4.464690659765758,69.64917429234582
REGN,2023-02-06,SHORT,0.6877808103347716,73.028900724701,13.31988775503919,1560.0,780.86,744.77,4.845791318125059,75.59434456275092
REGN,2023-02-07,SHORT,0.6275588699420311,68.61924686192478,13.747364486087463,1560.0,769.94,757.61,1.627486437613035,25.388788426763345
REGN,2023-02-14,SHORT,0.7204846041114739,54.771146100329574,9.499881826387082,1560.0,754.21,748.74,0.7305606752677773,11.396746534177327
REGN,2023-02-15,SHORT,0.6959941746533602,53.67968522296707,8.594121511322669,1560.0,752.4,746.52,0.7876547178910176,12.287413599099875
REGN,2023-02-16,SHORT,0.5501315310166228,47.87275821442597,6.504604210217167,1300.0,736.33,748.08,-1.5706876269917625,-20.41893915089291
REGN,2023-02-17,SHORT,0.6608703592068479,53.86601183730008,5.783362971912652,1560.0,748.74,759.66,-1.4374851907432262,-22.42476897559433
REGN,2023-02-21,SHORT,0.5772125478481734,45.70236639574191,4.975286640227637,1300.0,746.52,756.99,-1.3831094202037097,-17.980422462648228
REGN,2023-02-22,SHORT,0.583241288161948,46.460176991150455,4.409924424346627,1300.0,748.08,757.79,-1.2813576320616415,-16.65764921680134
REGN,2023-02-23,SHORT,0.7140718607284002,52.919254658385064,4.840481954077063,1560.0,759.66,760.42,-0.09994476736540081,-1.5591383709002526
REGN,2023-02-24,SHORT,0.5812129103473069,38.697682462815635,4.909659711511495,1300.0,756.99,770.44,-1.7457556720834932,-22.69482373708541
REGN,2023-02-27,SHORT,0.5910548649310363,39.89664535342031,4.97172593501125,1300.0,757.79,768.9,-1.444921316165948,-18.783977110157323
REGN,2023-02-28,SHORT,0.6470016301278181,45.504344540989756,5.173496042482498,1560.0,760.42,779.3,-2.422687026818937,-37.79391761837542
REGN,2023-03-03,SHORT,0.5956395085445192,62.07280418568403,7.739430956556362,1300.0,779.3,745.2,4.57595276435856,59.487385936661276
REGN,2023-03-06,SHORT,0.5907670239558931,59.70431697220577,8.642795839779296,1300.0,780.38,743.75,4.925042016806724,64.02554621848742
REGN,2023-03-07,SHORT,0.5646230673927507,62.075750122970966,8.73115526863171,1300.0,773.85,747.0,3.59437751004017,46.726907630522206
REGN,2023-03-09,SHORT,0.568581746976477,53.96621766089371,4.412304155407696,1300.0,743.75,766.8,-3.005998956703171,-39.07798643714122
REGN,2023-03-10,SHORT,0.5557603264713273,48.96894998814885,3.0518940146652085,1300.0,747.0,760.3,-1.749309483098771,-22.741023280284022
REGN,2023-03-13,SHORT,0.6343342790101103,53.320379471939674,2.3764513800132363,1560.0,752.33,749.75,0.34411470490163243,5.368189396465466
REGN,2023-03-14,SHORT,0.7954117258194195,59.32270916334657,2.9744783599296625,1560.0,766.8,747.65,2.561358924630497,39.95719922423575
REGN,2023-03-15,SHORT,0.6730587304722164,50.33571128829207,2.8906023087538415,1560.0,760.3,759.25,0.1382943694435257,2.1573921633190007
REGN,2023-03-16,SHORT,0.5604005368748752,46.4922480620155,1.9503506753965212,1300.0,749.75,759.76,-1.3175213225228966,-17.127777192797655
REGN,2023-03-20,SHORT,0.6507819753139235,49.48444522781354,1.211804667536171,1560.0,759.25,802.16,-5.349306871447091,-83.44918719457462
REGN,2023-03-21,SHORT,0.6149056115940045,44.86340900346284,1.3858671211985438,1560.0,759.76,820.0,-7.346341463414641,-114.6029268292684
REGN,2023-03-23,SHORT,0.6066439804413903,57.5525307255187,4.445033100884189,1560.0,802.16,826.97,-3.0001088310337765,-46.801697764126914
REGN,2023-03-24,SHORT,0.6383848899464605,61.78465199286139,8.64856773526708,1560.0,820.0,819.35,0.0793311771526195,1.2375663635808642
REGN,2023-03-27,SHORT,0.6577910853191751,64.37214470922333,11.876082702544068,1560.0,820.41,811.5,1.0979667282809524,17.12828096118286
EOG,2023-02-01,SHORT,0.5697428445703286,50.84942084942087,1.6435163260274805,1300.0,127.29,123.83,2.7941532746507347,36.32399257045955
EOG,2023-02-07,SHORT,0.5724045222145472,48.11918063314713,-0.05890729162879893,1300.0,127.78,134.14,-4.741315043983885,-61.63709557179051
EOG,2023-02-08,SHORT,0.5699161302167101,44.74414914716382,-0.03657465489953893,1300.0,128.64,133.28,-3.481392557022822,-45.25810324129669
EOG,2023-02-10,SHORT,0.7587388940723011,49.93502274204025,0.343179617138901,1560.0,134.14,128.53,4.364739749474822,68.08994009180722
EOG,2023-02-15,LONG,0.7944304139193459,38.171355498721205,0.6594155766048289,1100.0,128.53,119.23,-7.2356648253325995,-79.59231307865859
