date,symbol,rank,technical_score,seasonal_score,combined_score,technical_direction,direction,position_size,market_regime,entry_date,exit_date,entry_price,exit_price,return,adjusted_return
2023-01-09 05:00:00,EOG,6,0.6173251117066563,0.5,0.5821275781946593,LONG,LONG,0.052463827345839785,MIXED,2023-01-09 05:00:00,2023-01-17 05:00:00,127.75,130.06,0.018082191780821936,9.486609876234054e-06
2023-01-09 05:00:00,FDX,7,0.594260356934054,0.5,0.5659822498538377,LONG,LONG,0.051979467495615134,MIXED,2023-01-09 05:00:00,2023-01-17 05:00:00,189.74,188.13,-0.008485295667755948,-4.4106115035280425e-06
2023-01-09 05:00:00,AAPL,8,0.5435434887512554,0.605,0.5619804421258787,NEUTRAL,NEUTRAL,0.05185941326377636,MIXED,2023-01-09 05:00:00,2023-01-17 05:00:00,130.15,135.94,0.044487130234344925,2.3070764717423334e-05
2023-01-09 05:00:00,MSFT,9,0.47357780971759966,0.605,0.5130044668023197,SHORT,SHORT,0.040312107203255676,MIXED,2023-01-09 05:00:00,2023-01-17 05:00:00,227.12,240.35,-0.05825114476928491,-2.3482263926517793e-05
2023-01-09 05:00:00,LIN,10,0.504870489618603,0.5,0.5034093427330221,SHORT,SHORT,0.04008182422559253,MIXED,2023-01-09 05:00:00,2023-01-17 05:00:00,321.92,330.0,-0.025099403578528776,-1.0060298824017987e-05
2023-01-10 05:00:00,NVDA,1,0.6720051199739278,0.605,0.6519035839817494,LONG,LONG,0.05455710751945249,MIXED,2023-01-10 05:00:00,2023-01-18 05:00:00,159.09,173.77,0.09227481299893146,5.034246894120076e-05
2023-01-10 05:00:00,TSLA,2,0.6556239378347657,0.605,0.640436756484336,NEUTRAL,NEUTRAL,0.05421310269453008,MIXED,2023-01-10 05:00:00,2023-01-18 05:00:00,118.85,128.78,0.08355069415229287,4.5295423622775265e-05
2023-01-10 05:00:00,AAPL,3,0.6347305421774361,0.605,0.6258113795242053,LONG,LONG,0.05377434138572616,MIXED,2023-01-10 05:00:00,2023-01-18 05:00:00,130.73,135.21,0.03426910426069012,1.8427985114973934e-05
2023-01-10 05:00:00,AMD,4,0.5731539175394391,0.605,0.5827077422776074,LONG,LONG,0.05248123226832822,MIXED,2023-01-10 05:00:00,2023-01-18 05:00:00,68.05,70.53,0.036443791329904544,1.9126150775232068e-05
2023-01-10 05:00:00,VLO,5,0.6095281797839422,0.5,0.5766697258487595,LONG,LONG,0.05230009177546279,MIXED,2023-01-10 05:00:00,2023-01-18 05:00:00,132.01,135.52,0.02658889478069858,1.3906016372386594e-05
