symbol,combined_score,seasonal_score,technical_score,seasonal_direction,technical_direction,direction_aligned,regime_aligned,momentum_score,trend_score,volatility_score,volume_score,price,atr_pct,date
MSFT,0.6687660164619104,0.5,0.6128831372441685,LONG,LONG,True,True,0.44999999999999996,0.8,0.5789867671811768,0.6104289190396659,0,0,2024-01-24
AMD,0.7189875,0.5,0.675,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.7,0,0,2024-01-25
NVDA,0.7128833919460656,0.5,0.6674500828028023,LONG,LONG,True,True,0.44999999999999996,0.8,0.7969539663914849,0.6652964476225263,0,0,2024-01-25
META,0.6861132419424438,0.5,0.6343391984445812,LONG,LONG,True,True,0.44999999999999996,0.8,0.6761824015503308,0.6205135906725748,0,0,2024-01-25
DIS,0.679814342205152,0.5,0.6265483515215239,LONG,LONG,True,True,0.5595008756567426,0.7708275527013873,0.5385743748644298,0.5986747402059951,0,0,2024-01-25
GOOGL,0.6786672278970682,0.5,0.6251295335770788,LONG,LONG,True,True,0.44999999999999996,0.8,0.6157768111285727,0.634870856756821,0,0,2024-01-25
INTC,0.7564632604401149,0.5,0.7213522083365677,LONG,LONG,True,True,0.5711538461538463,0.8,0.7700302724520688,0.78,0,0,2024-01-26
AMD,0.7189875,0.5,0.675,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.7,0,0,2024-01-26
NVDA,0.708069112807227,0.5,0.6614955013076399,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6324775065381993,0,0,2024-01-26
META,0.6867600006131853,0.5,0.6351391473261413,LONG,LONG,True,True,0.44999999999999996,0.8,0.6879648906716662,0.6127308459590403,0,0,2024-01-26
GOOGL,0.6851733932757843,0.5,0.6331767387455589,LONG,LONG,True,True,0.44999999999999996,0.8,0.6340855430866627,0.6567981506411318,0,0,2024-01-26
AMD,0.7121512213614966,0.5,0.6665444914798968,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.657722457399484,0,0,2024-01-29
NVDA,0.702294248674659,0.5,0.6543528122135547,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.5967640610677731,0,0,2024-01-29
META,0.6825611922467797,0.5,0.6299458160133329,LONG,LONG,True,True,0.44999999999999996,0.8,0.6815942848443991,0.5931347952222656,0,0,2024-01-29
GOOGL,0.6808216261706452,0.5,0.6277942191349971,LONG,LONG,True,True,0.44999999999999996,0.8,0.6301125509835307,0.6338585446914546,0,0,2024-01-29
MSFT,0.6636422601077492,0.5,0.6065457762619038,LONG,LONG,True,True,0.44999999999999996,0.8,0.572725206984237,0.5850036743252816,0,0,2024-01-29
AMD,0.7064068480625636,0.5,0.6594395152288975,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.6221975761444876,0,0,2024-01-30
NVDA,0.6950168326828734,0.5,0.645351679261439,LONG,LONG,True,True,0.44999999999999996,0.8,0.7709143977770411,0.580843998530154,0,0,2024-01-30
DIS,0.6942366723224129,0.5,0.6443867313820815,LONG,LONG,True,True,0.48300945378151244,0.8,0.6609994956866357,0.6364199805515026,0,0,2024-01-30
META,0.6913290185815535,0.5,0.6407903754873882,LONG,LONG,True,True,0.44999999999999996,0.8,0.683386293522945,0.6455655839139954,0,0,2024-01-30
GOOGL,0.6804506313321123,0.5,0.6273353510601265,LONG,LONG,True,True,0.44999999999999996,0.8,0.6212038303693572,0.6404729249312748,0,0,2024-01-30
NVDA,0.6942333961315077,0.5,0.6443826791979067,LONG,LONG,True,True,0.44999999999999996,0.8,0.7449131009653678,0.6020002950241659,0,0,2024-01-31
META,0.6915770702770576,0.5,0.6410971803055754,LONG,LONG,True,True,0.44999999999999996,0.8,0.6882303368780398,0.6422555646498375,0,0,2024-01-31
GOOGL,0.687693685568425,0.5,0.6362939833870439,LONG,LONG,True,True,0.44999999999999996,0.8,0.618507951179944,0.6879619657552754,0,0,2024-01-31
DIS,0.6772435468385246,0.5,0.6233686417297768,LONG,LONG,True,True,0.44999999999999996,0.8,0.661678063013941,0.5801651456349428,0,0,2024-01-31
JPM,0.6693752250729296,0.5,0.6136366420197026,LONG,LONG,True,True,0.5793029259896727,0.8,0.3819133563188347,0.6173154647951691,0,0,2024-01-31
NVDA,0.6995478710511221,0.5,0.65095593203602,LONG,LONG,True,True,0.44999999999999996,0.8,0.763609182031582,0.6161704781485176,0,0,2024-02-01
DIS,0.6828690735156715,0.5,0.6303266215407193,LONG,LONG,True,True,0.460867178924259,0.8,0.6736974789915966,0.5866348603256113,0,0,2024-02-01
JPM,0.6642555944789558,0.5,0.6073043840184982,LONG,LONG,True,True,0.5340094836670178,0.8,0.4084142085967757,0.6270934859951882,0,0,2024-02-01
V,0.6615888742995887,0.5,0.6040060288182914,LONG,LONG,True,True,0.4786272321428575,0.8,0.47115847753395657,0.6309308183432141,0,0,2024-02-01
AMZN,0.6505610102400662,0.5,0.6305987145974885,LONG,LONG,True,False,0.5745381062355659,0.6754475838410048,0.6405690813696607,0.6374459565029258,0,0,2024-02-01
NVDA,0.6928043723857881,0.5,0.642615179203201,LONG,LONG,True,True,0.44999999999999996,0.8,0.7516916219579364,0.5863842740580687,0,0,2024-02-02
V,0.6569894983736917,0.5,0.598317252162884,LONG,LONG,True,True,0.44999999999999996,0.8,0.4647512818154067,0.6518349789990132,0,0,2024-02-02
META,0.6025353342079007,0.5,0.6054902506229941,LONG,NEUTRAL,False,True,0.45348918624552703,0.8,0.6872174737466801,0.45999999999999996,0,0,2024-02-02
MSFT,0.5840617352107326,0.5,0.5803561023275272,LONG,NEUTRAL,False,True,0.4598233456958816,0.8,0.6000060145906895,0.4120394785031247,0,0,2024-02-02
DIS,0.5823024238512075,0.5,0.5779624814302142,LONG,NEUTRAL,False,True,0.45035395909805964,0.8,0.680652615466133,0.3336288530378492,0,0,2024-02-02
META,0.7319235000000001,0.5,0.6910000000000001,LONG,LONG,True,True,0.44999999999999996,0.8,0.8,0.78,0,0,2024-02-05
AMZN,0.7072367951636396,0.5,0.6604660422555839,LONG,LONG,True,True,0.44999999999999996,0.7752583142494704,0.6844427399037138,0.78,0,0,2024-02-05
NVDA,0.7028855934947824,0.5,0.6550842220096258,LONG,LONG,True,True,0.44999999999999996,0.8,0.780169340559682,0.6202517694884466,0,0,2024-02-05
